"id","sequence","name","id"
"__export__.helpdesk_category_1_3cc1ed2d","1","Cerrajeria","__export__.helpdesk_category_1_3cc1ed2d"
"__export__.helpdesk_category_2_6e997f5f","2","Plomeria","__export__.helpdesk_category_2_6e997f5f"
"__export__.helpdesk_category_3_fb1163e2","3","Instalaciones Electrica","__export__.helpdesk_category_3_fb1163e2"
